Sample,Color,wl,spectra
1,Summersi_dors,793,28.6125
1,Summersi_dors,794,28.5825
1,Summersi_dors,795,28.5825
1,Summersi_dors,796,28.52
1,Summersi_dors,797,28.5575
1,Summersi_dors,798,28.5125
1,Summersi_dors,799,28.3725
1,Summersi_dors,800,28.2975
1,Summersi_dors,801,28.2275
1,Summersi_dors,802,28.2025
1,Summersi_dors,803,28.1625
1,Summersi_dors,804,28.1575
1,Summersi_dors,805,28.065
1,Summersi_dors,806,27.875
1,Summersi_dors,807,27.83
1,Summersi_dors,808,27.74
1,Summersi_dors,809,27.58
1,Summersi_dors,810,27.59
1,Summersi_dors,811,27.505
1,Summersi_dors,812,27.53
1,Summersi_dors,813,27.5375
1,Summersi_dors,814,27.58
1,Summersi_dors,815,27.615
1,Summersi_dors,816,27.42
1,Summersi_dors,817,27.2375
1,Summersi_dors,818,27.065
1,Summersi_dors,819,26.985
1,Summersi_dors,820,26.9275
1,Summersi_dors,821,26.94
1,Summersi_dors,822,26.9625
1,Summersi_dors,823,26.865
1,Summersi_dors,824,26.855
1,Summersi_dors,825,26.735
1,Summersi_dors,826,26.6375
1,Summersi_dors,827,26.615
1,Summersi_dors,828,26.4575
1,Summersi_dors,829,26.49
1,Summersi_dors,830,26.465
1,Summersi_dors,831,26.48
1,Summersi_dors,832,26.48
1,Summersi_dors,833,26.4225
1,Summersi_dors,834,26.32
1,Summersi_dors,835,26.2975
1,Summersi_dors,836,26.3575
1,Summersi_dors,837,26.3175
1,Summersi_dors,838,26.3125
1,Summersi_dors,839,26.19
1,Summersi_dors,840,26.1375
1,Summersi_dors,841,26.005
1,Summersi_dors,842,25.9825
1,Summersi_dors,843,26.0625
1,Summersi_dors,844,26.0475
1,Summersi_dors,845,26.01
1,Summersi_dors,846,26.01
1,Summersi_dors,847,26.005
1,Summersi_dors,848,25.995
1,Summersi_dors,849,25.855
1,Summersi_dors,850,25.77
1,Summersi_dors,851,25.7275
1,Summersi_dors,852,25.7875
1,Summersi_dors,853,25.7725
1,Summersi_dors,854,25.855
1,Summersi_dors,855,25.83
1,Summersi_dors,856,25.775
1,Summersi_dors,857,25.74
1,Summersi_dors,858,25.64
1,Summersi_dors,859,25.495
1,Summersi_dors,860,25.3925
1,Summersi_dors,861,25.3
1,Summersi_dors,862,25.3475
1,Summersi_dors,863,25.4025
1,Summersi_dors,864,25.465
1,Summersi_dors,865,25.43
1,Summersi_dors,866,25.405
1,Summersi_dors,867,25.4575
1,Summersi_dors,868,25.4925
1,Summersi_dors,869,25.5825
